Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
306,0,1,0,0,1,1,1,1,03b3,0,1,00,1,0a0,58
307,1,0,0,0,0,1,1,0,03b3,1,1,00,1,0a0,58
308,0,1,0,0,1,1,1,1,03b3,0,1,00,1,0a1,58
309,1,0,0,0,0,1,1,0,03b3,1,1,00,1,0a1,58
310,0,1,0,0,1,1,1,1,03da,0,1,00,1,0a2,58
311,1,0,0,0,0,1,1,0,03da,1,1,00,1,0a2,58
312,0,1,0,0,1,1,1,1,03e5,0,1,00,1,0a3,58
313,1,0,0,0,0,1,1,0,03e5,1,1,00,1,0a3,58
314,0,1,0,0,1,1,1,1,0002,0,1,00,1,0a4,58
315,1,0,0,0,0,1,1,0,0002,1,1,00,1,0a4,58
316,0,1,0,0,1,1,1,1,0003,0,1,00,1,0a5,58
317,1,0,0,0,0,1,1,0,0003,1,1,00,1,0a5,58
318,0,1,0,0,1,1,1,1,03f3,0,1,00,1,0a6,58
319,1,0,0,0,0,1,1,0,03f3,1,1,00,1,0a6,58
320,0,1,0,0,1,1,1,1,0116,0,1,00,1,0a7,58
321,1,0,0,0,0,1,1,0,0116,1,1,00,1,0a7,58
322,0,1,0,0,1,1,1,1,0266,0,1,00,1,0a8,58
323,1,0,0,0,0,1,1,0,0266,1,1,00,1,0a8,58
324,0,1,0,0,1,1,1,1,001a,0,1,00,1,0a9,58
325,1,0,0,0,0,1,1,0,001a,1,1,00,1,0a9,58
326,0,1,0,0,1,1,1,1,0001,0,1,00,1,0aa,58
327,1,0,0,0,0,1,1,0,0001,1,1,00,1,0aa,58
328,0,1,0,0,1,1,1,1,0065,0,1,00,1,0ab,58
329,1,0,0,0,0,1,1,0,0065,1,1,00,1,0ab,58
330,0,1,0,0,1,1,1,1,0168,0,1,00,1,0ac,58
331,1,0,0,0,0,1,1,0,0168,1,1,00,1,0ac,58
332,0,1,0,0,1,1,1,1,03cc,0,1,00,1,0ad,58
333,1,0,0,0,0,1,1,0,03cc,1,1,00,1,0ad,58
334,0,1,0,0,1,1,1,1,0011,0,1,00,1,0ae,58
335,1,0,0,0,0,1,1,0,0011,1,1,00,1,0ae,58
336,0,1,0,0,1,1,1,1,025e,0,1,00,1,0af,58
337,1,0,0,0,0,1,1,0,025e,1,1,00,1,0af,58
338,0,1,0,0,1,1,1,1,001f,0,1,00,1,0b0,58
339,1,0,0,0,0,1,1,0,001f,1,1,00,1,0b0,58
